year,month,crude_oil,lpg,ms,naphtha,atf,sko,hsd,lube_oil,fule_oil,bitument,others
2011,APRIL,15736.68,418.59,19.97,152.94,0.00,128.55,507.95,115.88,94.50,6.70,256.13
2011,MAY,13784.49,469.11,0.00,133.50,0.00,141.32,39.61,100.58,20.57,9.40,280.66
2011,JUNE,13934.81,481.71,215.05,161.75,0.00,110.54,191.78,104.64,59.89,1.80,292.93
2011,JULY,13749.86,494.59,134.57,227.45,0.00,110.19,0.19,81.90,140.80,4.87,214.44
2011,AUGUST,14263.80,428.48,108.45,121.90,0.00,73.50,15.83,150.37,183.44,1.07,241.35
2011,SEPTEMBER,12989.75,503.92,35.95,202.37,0.00,0.00,1.01,132.54,158.63,1.66,232.92
2011,OCTOBER,12462.82,453.23,139.79,181.87,0.00,0.00,4.76,94.39,56.49,1.37,141.13
2011,NOVEMBER,14849.81,446.84,0.00,273.93,0.00,0.00,2.12,165.06,136.99,5.47,344.31
2011,DECEMBER,13932.54,475.32,0.00,240.21,0.00,0.00,22.27,130.69,80.76,6.35,174.83
2012,JANUARY,17017.13,512.20,0.00,111.07,0.00,0.00,206.90,128.01,9.91,2.91,263.55
2012,FEBRUARY,13718.54,514.07,0.00,108.44,0.00,0.00,62.34,107.23,170.67,14.62,239.55
2012,MARCH,15288.91,591.98,0.00,175.11,0.00,0.00,4.23,122.92,90.04,21.62,295.38
2012,APRIL,14808.67,655.34,0.00,138.27,0.00,0.00,132.63,141.98,126.94,6.99,357.65
2012,MAY,15627.29,628.00,0.00,173.41,0.00,0.00,108.98,183.16,62.82,14.37,333.75
2012,JUNE,14817.47,459.48,0.00,178.93,0.00,0.00,60.88,143.76,50.04,3.08,300.75
2012,JULY,14593.57,525.56,56.86,186.88,0.00,0.00,131.70,121.06,84.57,3.79,335.89
2012,AUGUST,15045.27,527.51,89.97,189.76,0.00,0.00,62.91,259.07,51.91,1.02,569.69
2012,SEPTEMBER,15236.31,591.67,0.00,187.97,0.00,0.00,1.72,170.86,95.17,2.66,355.72
2012,OCTOBER,16503.27,508.08,0.00,85.33,0.00,0.00,1.15,143.81,63.45,8.36,370.46
2012,NOVEMBER,15495.25,508.67,0.00,214.21,0.00,0.00,2.19,262.01,88.30,13.47,375.08
2012,DECEMBER,16021.07,533.24,0.00,111.57,0.00,0.00,7.56,101.44,77.87,7.54,374.92
2013,JANUARY,18344.71,448.48,0.00,94.67,0.00,0.00,8.45,157.09,122.66,4.68,450.72
2013,FEBRUARY,13365.89,383.38,0.00,120.07,0.00,0.00,4.58,146.57,112.51,15.62,321.54
2013,MARCH,14936.49,531.39,0.00,80.66,0.00,0.00,5.15,146.03,101.47,20.07,354.53
2013,APRIL,16408.19,519.86,0.00,65.80,0.00,0.00,5.66,146.62,107.58,24.72,312.04
2013,MAY,17180.71,600.84,15.49,65.81,0.00,0.00,16.67,212.34,59.68,31.52,467.46
2013,JUNE,14309.99,345.34,114.69,124.68,0.00,0.00,0.28,139.66,48.10,7.02,262.17
2013,JULY,16352.81,400.03,76.15,95.29,0.00,0.00,0.94,185.48,181.65,7.01,470.29
2013,AUGUST,17572.95,553.13,0.00,100.48,0.00,0.00,3.25,150.76,147.36,1.56,441.34
2013,SEPTEMBER,15081.78,572.65,0.00,155.83,0.00,0.00,0.61,103.47,120.52,4.56,589.39
2013,OCTOBER,15361.25,642.55,28.99,73.13,0.00,0.00,3.06,188.23,168.30,11.04,470.51
2013,NOVEMBER,14614.36,352.49,0.00,108.11,0.00,0.00,28.76,120.50,40.45,20.99,413.95
2013,DECEMBER,15821.73,665.94,0.00,92.65,0.00,0.00,3.62,229.78,121.62,22.30,271.96
2014,JANUARY,15503.43,712.60,0.00,65.51,0.00,0.00,1.78,269.19,65.78,20.33,519.40
2014,FEBRUARY,16515.09,650.87,0.00,56.38,0.00,0.00,7.32,186.42,95.83,62.65,435.67
2014,MARCH,14515.92,551.11,0.00,16.56,0.00,0.00,4.70,157.58,174.64,32.22,475.79
2014,APRIL,16902.41,657.24,0.00,46.06,10.48,0.00,0.10,273.31,158.94,36.11,422.14
2014,MAY,14905.48,633.11,0.00,66.44,5.20,29.64,4.75,364.62,123.86,38.78,491.10
2014,JUNE,16210.60,563.68,60.73,69.14,0.00,0.00,2.39,111.44,125.75,30.94,662.40
2014,JULY,14221.89,711.42,143.30,71.74,5.49,0.00,50.70,149.60,19.55,15.97,627.86
2014,AUGUST,15990.12,623.69,50.05,98.93,14.27,0.00,1.28,236.53,105.77,25.64,645.53
2014,SEPTEMBER,15989.27,757.96,20.31,61.98,20.84,0.00,6.22,136.14,76.18,20.56,866.18
2014,OCTOBER,16192.55,720.80,37.65,0.00,14.00,0.00,9.55,170.51,11.84,30.19,502.67
2014,NOVEMBER,15005.13,651.22,15.63,23.46,5.25,0.00,8.30,144.34,60.77,56.09,659.33
2014,DECEMBER,16820.21,816.44,0.00,47.07,14.41,0.00,10.42,129.27,29.86,63.66,783.88
2015,JANUARY,17714.54,711.42,0.00,85.67,19.02,0.00,2.58,100.42,86.80,52.10,634.89
2015,FEBRUARY,12993.23,623.04,0.00,136.67,10.76,0.00,9.78,151.50,53.20,63.21,772.01
2015,MARCH,16489.43,843.38,44.11,327.13,19.92,0.00,17.56,180.44,49.56,83.75,653.65
2015,APRIL,15534.90,685.22,120.49,152.00,19.14,35.11,1.47,205.38,35.86,90.94,671.73
2015,MAY,17454.45,809.50,153.55,364.15,5.76,0.00,0.42,162.48,49.40,94.59,958.70
2015,JUNE,15619.29,653.44,169.88,347.08,55.39,6.04,9.83,194.92,272.74,83.72,673.99
2015,JULY,17732.26,695.79,132.97,354.48,25.37,0.00,1.85,181.97,48.25,50.34,916.04
2015,AUGUST,17234.92,996.46,37.65,296.44,24.00,0.00,0.52,172.68,50.32,37.24,974.28
2015,SEPTEMBER,15786.62,663.34,50.99,164.79,20.34,0.00,1.03,191.20,115.66,36.50,1092.27
2015,OCTOBER,15568.37,709.53,143.36,242.30,20.25,0.00,6.53,150.05,77.66,97.89,1043.35
2015,NOVEMBER,16636.22,724.33,32.93,121.98,27.14,0.00,9.93,209.48,63.51,72.50,872.26
2015,DECEMBER,17726.04,785.28,98.11,204.74,25.88,0.00,10.42,185.82,45.43,92.76,749.15
2016,JANUARY,18129.15,803.20,52.82,230.18,5.98,0.00,2.19,201.40,270.17,62.38,1305.90
2016,FEBRUARY,16882.44,683.61,0.00,204.55,20.33,0.00,71.52,198.79,29.95,49.19,1313.73
2016,MARCH,18545.83,749.50,19.70,248.49,36.18,0.00,61.70,210.18,110.90,110.97,1164.01
2016,APRIL,17960.12,809.13,73.63,326.23,22.69,0.00,503.31,188.85,80.44,119.79,1161.72
2016,MAY,17526.95,856.52,156.71,219.50,28.02,0.00,222.48,178.31,95.83,144.78,1269.60
2016,JUNE,17630.34,795.92,38.27,238.03,33.05,0.00,2.99,222.10,89.01,78.69,1755.56
2016,JULY,17214.37,810.60,0.00,268.50,26.50,0.00,0.99,229.26,78.99,23.64,1542.49
2016,AUGUST,18810.79,746.07,90.09,248.81,25.46,0.00,0.48,153.64,26.59,26.17,2249.58
2016,SEPTEMBER,17762.15,798.23,84.28,238.02,43.35,0.00,0.14,134.15,135.25,25.28,1517.12
2016,OCTOBER,18152.53,1004.62,0.00,215.47,7.40,0.00,5.43,179.50,78.87,86.94,1411.62
2016,NOVEMBER,18755.74,1020.96,33.27,251.77,34.20,0.00,2.58,184.33,70.24,69.70,1095.47
2016,DECEMBER,18005.84,1118.56,0.00,236.72,49.77,0.00,101.03,176.65,83.63,89.26,955.66
2017,JANUARY,17445.89,901.32,0.00,90.54,28.55,0.00,163.40,174.94,43.48,86.46,1193.35
2017,FEBRUARY,16454.67,1000.17,0.00,208.62,31.57,0.00,5.01,169.34,57.65,96.91,1020.79
2017,MARCH,18212.44,1235.19,0.00,234.63,6.98,0.00,0.30,139.82,84.66,103.14,1411.93
2017,APRIL,18126.97,905.56,0.00,73.64,29.24,0.00,14.32,210.24,85.65,76.91,1239.02
2017,MAY,17903.09,752.37,0.00,102.57,22.94,0.00,444.39,176.39,120.61,127.48,1322.58
2017,JUNE,17666.05,617.88,36.24,67.85,24.82,0.00,458.90,184.19,46.64,42.92,1334.23
2017,JULY,17320.20,933.69,137.39,166.39,7.66,0.00,312.47,192.11,67.55,25.14,1538.30
2017,AUGUST,18112.90,1105.03,0.00,167.67,24.14,0.00,9.79,223.22,44.14,50.38,1688.09
2017,SEPTEMBER,17643.58,871.78,0.00,215.70,25.18,0.00,0.57,192.86,57.71,59.45,1058.14
2017,OCTOBER,19029.14,1201.46,0.00,250.21,25.55,0.00,3.42,219.32,114.69,65.11,1423.45
2017,NOVEMBER,19191.05,1233.42,0.00,117.18,33.71,0.00,19.00,216.13,148.00,71.08,1054.28
2017,DECEMBER,19339.13,1130.43,0.00,183.91,12.66,0.00,4.77,204.69,73.34,106.32,1587.93
2018,JANUARY,20065.58,987.70,0.00,352.40,37.37,0.00,8.55,233.34,105.99,88.12,1062.21
2018,FEBRUARY,17630.78,733.77,0.00,272.70,23.64,0.00,5.90,190.80,167.89,77.84,1230.93
2018,MARCH,18405.38,908.98,0.00,179.94,23.64,0.00,70.69,190.80,240.98,77.84,1427.32
2018,APRIL,17279.96223,860.689373,0,385.078951,37.356,0,71.685173,148.528504,271.698336,101.908613,1095.131445
2018,MAY,19962.77,866.34,115.81,158.31,6.96,0.00,115.04,238.37,85.57,91.60,861.24
2018,JUNE,19476.87,1099.08,0.00,145.84,14.72,0.00,5.46,271.66,194.54,55.57,1063.85
2018,JULY,19583.29,1088.44,0.00,191.04,22.28,0.00,6.50,236.26,187.36,78.66,1194.98
2018,AUGUST,18641.12,1210.45,37.49,190.90,22.28,0.00,6.50,240.67,50.09,78.66,1133.55
